chunk_id,texto,tipo,pagina,fuente_pdf,referencia
580,"is an enterprise that came about only because of the strenuous efforts of many individuals. On the JAMA side, I must thank Annette Flanagin, RN, MA, a wonderfully efficient, creative, and diplomatic colleague at JAMA. All of this was coordinated and kept up to schedule by the energy and meticulous efficiency of Kate Pezalla, MA. My colleague, Edward Livingston, MD, a surgeon and a perceptive critic, is taking over the Users’ Guides to the Medical Literature series at JAMA, and I am confident it will prosper in his hands. In addition, I acknowledge the efforts of our partners at McGraw-Hill",ventana,35,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
581,"I am confident it will prosper in his hands. In addition, I acknowledge the efforts of our partners at McGraw-Hill Education—James Shanahan, Scott Grillo, Michael Crumsho, and Robert Pancotti. Finally, I thank my friends Cathy DeAngelis, MD, MPH, and her successor, Howard Bauchner, MD, MPH, former and current Editors in Chief of The JAMA Network, for their strong backing of me, my colleagues, and this project. Howard inherited this project. Once I found out that his immediate and enthusiastic acceptance of it was based on his regular use of early articles in the Users’ Guides series, any concern about its",ventana,35,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
582,"of it was based on his regular use of early articles in the Users’ Guides series, any concern about its reception vanished. Indeed, Howard 2,3 was the instigator of Evidence-based Medicine—An Oral History, a video series of personal views on the birth and early growth of evidence-based medicine that has helped put the Users’ Guides into perspective. Howard’s infectious good spirits and sharp intelligence bode well for further editions of this book. Drummond Rennie, MD University of California, San Francisco References 1. Durack DT. The weight of medical knowledge. N Engl J Med. 34",ventana,35,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
583,References 1. Durack DT. The weight of medical knowledge. N Engl J Med. 34,ventana,35,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
584,"1978;298(14):773-775. 2. Smith R, Rennie D. Evidence-based medicine—an oral history. JAMA. 2014;311(4):365-367. 3. Evidence-based medicine—an oral history website. http://ebm.jamanetwork.com. Accessed August 17, 2014. 35",ventana,36,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
585,"PREFACE Evidence-based medicine (EBM)—as a concept with that particular moniker—is now almost 25 years old. Looking back, periods of infancy, childhood, 1 2 adolescence, and now a mature adulthood are evident. This third edition of the Users’ Guides to the Medical Literature firmly establishes the maturity of the EBM movement. The first articulation of the world view that was to become EBM appeared in 1981 when a group of clinical epidemiologists at McMaster University, led by David Sackett, MD, published the first of a series of articles that advised 3 clinicians on how to read clinical journals. Although a huge",ventana,37,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
586,"the first of a series of articles that advised 3 clinicians on how to read clinical journals. Although a huge step forward, the series had its limitations. After teaching what they then called critical appraisal for a number of years, the group became increasingly aware of both the necessity and the challenges of going beyond reading the literature in a browsing mode and instead using research studies to solve patient management problems on a day-to-day basis. In 1990, I assumed the position of residency director of the Internal Medicine Program at McMaster. Through Dave Sackett’s leadership, critical appraisal had evolved",ventana,37,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
587,"the position of residency director of the Internal Medicine Program at McMaster. Through Dave Sackett’s leadership, critical appraisal had evolved into a philosophy of medical practice based on knowledge and understanding of the medical literature supporting each clinical decision. We believed that this represented a fundamentally different style of practice and required a term that would capture this difference. My mission as residency director was to train physicians who would practice this new approach to medicine. In the spring of 1990, I presented our plans for changing the program to the members of the Department of Medicine, many of whom",ventana,37,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
588,"1990, I presented our plans for changing the program to the members of the Department of Medicine, many of whom were unsympathetic. The term suggested to describe the new approach was scientific medicine. Those already hostile were incensed at the implication that they had previously been “unscientific.” My second try at a name for our philosophy of medical practice, evidence-based medicine, became extremely 4 popular in a very short time. To use the current vernacular, it went viral. After that fateful Department of Medicine meeting at McMaster, the term EBM first appeared in the autumn of 1990 in an information",ventana,37,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
589,"fateful Department of Medicine meeting at McMaster, the term EBM first appeared in the autumn of 1990 in an information document for residents entering, or considering application to, the residency program. The 36",ventana,37,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
590,"relevant passage follows: Residents are taught to develop an attitude of “enlightened scepticism” towards the application of diagnostic, therapeutic, and prognostic technologies in their day-to-day management of patients. This approach . . . has been called “evidence-based medicine.” . . . The goal is to be aware of the evidence on which one’s practice is based, the soundness of the evidence, and the strength of inference the evidence permits. The strategy employed requires a clear delineation of the relevant question(s); a thorough search of the literature relating to the questions; a critical appraisal of the evidence and its applicability to",ventana,38,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
591,"a thorough search of the literature relating to the questions; a critical appraisal of the evidence and its applicability to the clinical situation; a balanced application of the conclusions to the clinical problem. The first published appearance of the term was in the American College of 5 Physicians’ Journal Club in 1991. Meanwhile, our group of enthusiastic evidence-based medical educators at McMaster were refining our practice and teaching of EBM. Believing that we were on to something important, we linked up with a larger group of academic physicians, largely from the United States, to form the first Evidence-Based Medicine Working",ventana,38,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
592,"up with a larger group of academic physicians, largely from the United States, to form the first Evidence-Based Medicine Working Group and published an article in JAMA that defined and expanded on the description of EBM, labeling it as a 6 “paradigm shift.” This working group then addressed the task of producing a new set of articles, the successor to the Readers’ Guides, to present a more practical approach to applying the medical literature to clinical practice. With the unflagging support and wise counsel of JAMA Deputy Editor Drummond Rennie, MD, the Evidence-Based Medicine Working Group created a 25-part series",ventana,38,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
593,"support and wise counsel of JAMA Deputy Editor Drummond Rennie, MD, the Evidence-Based Medicine Working Group created a 25-part series called the Users’ Guides to the Medical Literature, published in JAMA between 1993 and 7 2000. The series continues to be published in JAMA, with articles that address new concepts and applications. The first edition of the Users’ Guides to the Medical Literature was a direct descendant of the JAMA series. By the time of the book’s publication in 2002, EBM had already undergone its first fundamental evolution, the realization that evidence was never sufficient for clinical decision making. Rather,",ventana,38,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
594,"EBM had already undergone its first fundamental evolution, the realization that evidence was never sufficient for clinical decision making. Rather, management decisions always involve trade-offs between desirable and undesirable consequences and thus require value and preference judgments. Indeed, in the first edition of the Users’ Guide to the Medical Literature, the first principle of EBM was presented as Clinical Decision Making: Evidence Is Never Enough, joining the previously articulated principle of a hierarchy of evidence. 37",ventana,38,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
595,"It did not take long for people to realize that the principles of EBM were equally applicable for other health care workers, including nurses, dentists, orthodontists, physiotherapists, occupational therapists, chiropractors, and podiatrists. Thus, terms such as evidence-based health care and evidence-based practice are appropriate to cover the full range of clinical applications of the evidence-based approach to patient care. Because our Users’ Guides are directed primarily at physicians, we have continued with the term EBM. The second edition incorporated 2 new EBM developments in EBM thinking. First, we had realized that only a few clinicians would become skilled at critically",ventana,39,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
596,"new EBM developments in EBM thinking. First, we had realized that only a few clinicians would become skilled at critically appraising original journal articles and that preappraised evidence would be crucial for evidence-based clinical practice. Second, our knowledge of how best to ensure that clinical decisions were consistent with patient values and preferences was rudimentary and would require extensive study. This third edition of the Users’ Guides to the Medical Literature builds on these realizations, most substantially in the revised guide to finding the evidence. The emphasis is now on preappraised resources and particularly on the successor to medical texts:",ventana,39,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
597,guide to finding the evidence. The emphasis is now on preappraised resources and particularly on the successor to medical texts: electronic publications that produce updated evidence summaries as the data appear and provide evidence-based recommendations for practice. Awareness of the importance of preappraised evidence and evidence-based recommendations is reflected in other changes in the third edition. We have added a fundamental principle to the hierarchy of evidence and the necessity for value and preference judgments: that optimal clinical decision making requires systematic summaries of the best available evidence. This principle has led to a fundamental revision of the Users’ Guide,ventana,39,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
598,"requires systematic summaries of the best available evidence. This principle has led to a fundamental revision of the Users’ Guide to systematic reviews, which now explicitly includes the meta-analyses and acknowledges 2 core considerations. The first is how well the systematic review and meta-analysis were conducted. The second, inspired by the contributions of the GRADE (Grading of Recommendations Assessment, Development and 8 Evaluation) Working Group, demands an assessment of the confidence that one can place in the estimates of effect emerging from the review and meta-analysis. However well done the review, if the primary evidence on which it is based",ventana,39,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
599,"emerging from the review and meta-analysis. However well done the review, if the primary evidence on which it is based warrants little confidence, inferences from the review will inevitably be very limited. The third edition of the Users’ Guides to the Medical Literature incorporates the lessons we have learned in more than 20 years of teaching the concepts of 38",ventana,39,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
600,"EBM to students with a wide variety of backgrounds, prior preparation, clinical interest, and geographic location. Indeed, among our many blessings is the opportunity to travel the world, helping to teach at EBM workshops. Participating in workshops in Thailand, Saudi Arabia, Egypt, Pakistan, Oman, Kuwait, Singapore, the Philippines, Japan, India, Peru, Chile, Brazil, Germany, Spain, France, Belgium, Norway, the United States, Canada, and Switzerland— the list goes on—provides us with an opportunity to try out and refine our teaching approaches with students who have a tremendous heterogeneity of backgrounds and perspectives. At each of these workshops, the local EBM teachers",ventana,40,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
601,"with students who have a tremendous heterogeneity of backgrounds and perspectives. At each of these workshops, the local EBM teachers share their own experiences, struggles, accomplishments, and EBM teaching tips that we can add to our repertoire. We are grateful for the extraordinary privilege of sharing, in the form of the third edition of Users’ Guides to the Medical Literature, what we have learned. Gordon Guyatt, MD, MSc McMaster University References 1. Daly J. Evidence-based Medicine and the Search for a Science of Clinical Care. Berkeley, CA: Milbank Memorial Fund and University of California Press; 2005. 2. Smith R, Rennie",ventana,40,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
602,"a Science of Clinical Care. Berkeley, CA: Milbank Memorial Fund and University of California Press; 2005. 2. Smith R, Rennie D. Evidence-based medicine—an oral history. JAMA. 2014;311(4):365-367. 3. Department of Clinical Epidemiology & Biostatistics, McMaster University. How to read clinical journals, I: why to read them and how to start reading them critically. Can Med Assoc J. 1981;124(5):555-558. 4. Evidence-based medicine—an oral history website. http://ebm.jamanetwork.com. Accessed August 17, 2014. 5. Guyatt G. Evidence-based medicine. ACP J Club (Ann Intern Med). 1991;114(suppl 2):A-16. 6. Evidence-Based Medicine Working Group. Evidence-based medicine: a new approach to teaching the practice of medicine. JAMA. 1992;268(17):2420-",ventana,40,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
603,1991;114(suppl 2):A-16. 6. Evidence-Based Medicine Working Group. Evidence-based medicine: a new approach to teaching the practice of medicine. JAMA. 1992;268(17):2420- 2425. 39,ventana,40,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
604,"7. Guyatt GH, Rennie D. Users’ guides to the medical literature. JAMA. 1993;270(17):2096-2097. 8. Guyatt GH, Oxman AD, Vist GE, et al; GRADE Working Group. GRADE: an emerging consensus on rating quality of evidence and strength of recommendations. BMJ. 2008;336(7650):924-926. 40",ventana,41,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
605,THE FOUNDATIONS How to Use the Medical Literature—and This Book—to Improve Your Patient Care What Is Evidence-Based Medicine? Evidence-Based Medicine and the Theory of Knowledge What Is the Question? Finding Current Best Evidence Why Study Results Mislead: Bias and Random Error 41,ventana,42,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
606,"How to Use the Medical Literature—and This Book—to Improve Your Patient Care Gordon Guyatt and Maureen O. Meade IN THIS CHAPTER The Structure of the Users’ Guides to the Medical Literature: The Foundations Advanced Topics he objective of this book is to help you make efficient use of the published Tliterature in guiding your patient care. What does the published literature a comprise? Our definition is broad. You may find evidence in a wide variety of sources, including original journal articles, reviews and synopses of primary studies, clinical practice guidelines, and traditional and innovative medical textbooks. Increasingly, clinicians can most",ventana,43,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
607,"articles, reviews and synopses of primary studies, clinical practice guidelines, and traditional and innovative medical textbooks. Increasingly, clinicians can most easily access many of these sources through the Internet. THE STRUCTURE OF THE USERS’ GUIDES TO THE MEDICAL LITERATURE: THE FOUNDATIONS This book is not like a novel that you read from beginning to end. Indeed, the Users’ Guides are designed so that each part is largely self-contained. Thus, we anticipate that clinicians may be selective in their reading of the core content chapters and will certainly be selective when they move beyond the essentials. On the first reading, you",ventana,43,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
608,"the core content chapters and will certainly be selective when they move beyond the essentials. On the first reading, you may choose only a few advanced areas that interest you. 42",ventana,43,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
609,"If, as you use the medical literature, you find the need to expand your understanding of, for instance, studies addressing screening tests or the use of surrogate outcomes, you can consult the relevant chapters to familiarize or reacquaint yourself with the issues. You may also find the glossary a useful reminder of the formal definitions of terms used herein. Finally, we rely heavily on examples to make our points. You will find examples identified by their blue background. The book comprises 7 sections: The Foundations, Therapy, Harm, Diagnosis, Prognosis, Summarizing the Evidence, and Moving From Evidence to Action (Box 1-1).",ventana,44,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
610,"comprises 7 sections: The Foundations, Therapy, Harm, Diagnosis, Prognosis, Summarizing the Evidence, and Moving From Evidence to Action (Box 1-1). BOX 1-1 Sections of This Book The Foundations Therapy Harm Diagnosis Prognosis Summarizing the Evidence Moving From Evidence to Action The first section of this book introduces the foundations of evidence-based practice. Two chapters in this section, What Is Evidence-Based Medicine? and Evidence-Based Medicine and the Theory of Knowledge, present the 3 guiding principles of evidence-based medicine (EBM) and place EBM in the context of a humanistic approach to medical practice. The subsequent chapters in this section deal with defining",ventana,44,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
611,"EBM in the context of a humanistic approach to medical practice. The subsequent chapters in this section deal with defining your clinical question, locating the best evidence to address that question, and distinguishing bias from random error (a key principle of critical appraisal). Clinicians are primarily interested in making accurate diagnoses and selecting optimal treatments for their patients. They also must avoid exposing patients to harm and offer patients prognostic information. Thus, chapters in 4 sections of this book (Therapy, Harm, Diagnosis, and Prognosis) begin by outlining what every medical student, intern and resident, and practicing physician and other 43",ventana,44,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
612,"Harm, Diagnosis, and Prognosis) begin by outlining what every medical student, intern and resident, and practicing physician and other 43",ventana,44,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
613,"clinicians will need to know to use articles that present primary data that address these 4 principal issues in providing patient care. Increasingly, we have become aware that individual studies are often unrepresentative of all relevant studies (ie, showing larger or smaller treatment effects than pooled estimates of all relevant studies), imprecise, or limited in their applicability—so much so that, since the previous edition of this book, we have added the need for systematic summaries of all relevant studies as a core principle of EBM. This has major implications for clinicians looking to use the literature to provide optimal patient",ventana,45,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
614,"a core principle of EBM. This has major implications for clinicians looking to use the literature to provide optimal patient care. Efficient and optimally effective evidence-based practice dictates bypassing the critical assessment of primary studies and, if they are available, moving straight to the evaluation of rigorous systematic reviews. Even more efficient than using a systematic review is moving directly to an evidence-based recommendation. Ideally, management recommendations—summarized in clinical practice guidelines or decision analyses—will incorporate the best evidence and make explicit the value judgments used in moving from evidence to recommendations for action. Unfortunately, many clinical practice guidelines sometimes provide",ventana,45,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
615,"explicit the value judgments used in moving from evidence to recommendations for action. Unfortunately, many clinical practice guidelines sometimes provide recommendations that are inconsistent with the best evidence or with typical patient values and preferences. The last 2 sections of the book, Summarizing the Evidence and Moving From Evidence to Action, provide clinicians with guides for using systematic reviews (with and without meta-analyses) and recommendations to optimize their patient care. Our approach to addressing diagnosis, therapy, harm, and prognosis begins when the clinician faces a clinical question (Figure 1-1). Having identified the problem, the clinician then formulates a structured clinical",ventana,45,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
616,"when the clinician faces a clinical question (Figure 1-1). Having identified the problem, the clinician then formulates a structured clinical question (the “Ask,” Figure 1-1) (see Chapter 4, What Is the Question?) and continues with finding the best relevant evidence (the “Acquire,” Figure 1-1) (see Chapter 5, Finding Current Best Evidence). FIGURE 1-1 44",ventana,45,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
617,"Many chapters of this book include an example of a search for the best evidence. These searches were accurate at the time they were done, but you are unlikely to get exactly the same results if you replicate the searches now. The reasons for this include additions to the literature and occasional structural changes in databases. Thus, you should view the searches as illustrations of searching principles, rather than as currently definitive searches that address the clinical question. Having identified the best evidence, the clinician then proceeds through the next 3 steps in evaluating that evidence: appraisal, considering how to",ventana,46,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
618,"the best evidence, the clinician then proceeds through the next 3 steps in evaluating that evidence: appraisal, considering how to apply the results, and acting (Figure 1-1). The appraisal includes 2 questions: “How serious is the risk of bias?” and “What are the results?” The first question, “How serious is the risk of bias?” deals with the extent to which the results represent an unbiased estimate of the truth. In the first 2 editions of this book, we referred to risk of bias as validity and used the question, “Are the results valid?” We have made this change because “risk",ventana,46,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
619,"risk of bias as validity and used the question, “Are the results valid?” We have made this change because “risk of bias” is a more explicit and transparent term. In 3 chapters (Chapter 8, How to Use a Noninferiority Trial; 45",ventana,46,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
620,"Chapter 12.5, Measuring Patients’ Experience; and Chapter 28.2, Economic Analysis), limitations of study design related to these topics include issues beyond risk of bias. Therefore, in these 3 chapters, we continue to use the term validity and the question “Are the results valid?” to capture the risk of bias and these additional issues. The second question in the appraisal step is, “What are the results?” For issues of therapy or harm, this will involve assessing the magnitude and precision of the impact of the intervention (a treatment or possible harmful exposure) (see Chapter 7, Therapy [Randomized Trials]; Chapter 8, How",ventana,47,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
621,"the impact of the intervention (a treatment or possible harmful exposure) (see Chapter 7, Therapy [Randomized Trials]; Chapter 8, How to Use a Noninferiority Trial; Chapter 9, Does Treatment Lower Risk? Understanding the Results; Chapter 10, Confidence Intervals: Was the Single Study or Meta- analysis Large Enough? and Chapter 14, Harm [Observational Studies]). For issues of diagnosis, this will involve generating pretest probabilities and then posttest probabilities on the basis of test results (see Chapter 16, The Process of Diagnosis; Chapter 17, Differential Diagnosis; and Chapter 18, Diagnostic Tests). For issues of prognosis, this will involve determining the likelihood of",ventana,47,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
622,"Chapter 17, Differential Diagnosis; and Chapter 18, Diagnostic Tests). For issues of prognosis, this will involve determining the likelihood of events occurring over time and the precision of those estimates (see Chapter 20, Prognosis). Once we understand the results, we move to dealing with applicability (Figure 1-1) and ask ourselves the third question: “How can I apply these results to patient care?” This question has 2 parts. First, can you generalize (or, to put it another way, particularize) the results to your patient? For instance, your confidence in estimates of treatment effect decreases if your patient is too dissimilar from",ventana,47,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
623,"to your patient? For instance, your confidence in estimates of treatment effect decreases if your patient is too dissimilar from those who participated in the trial or trials. Second, what is the significance of the results for your patient? Have the investigators measured all patient-important outcomes? What is the tradeoff among the benefits, risks, and burdens of alternative management strategies? Often, you will find a systematic review that, if it is done well and includes a meta-analysis (see Chapter 22, The Process of a Systematic Review and Meta- analysis), will have conducted the search and risk of bias appraisals and,",ventana,47,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
624,"The Process of a Systematic Review and Meta- analysis), will have conducted the search and risk of bias appraisals and, further, summarized the results and suggested the confidence you can place in estimates (see Chapter 23, Understanding and Applying the Results of a Systematic Review and Meta-analysis). In addition, you often will find a recommendation that, if developed rigorously, is based on trustworthy systematic reviews of the evidence and explicitly considers patient values and preferences (see Chapter 26, How to Use a Patient Management Recommendation: Clinical Practice Guidelines and Decision Analyses) and provides guidance on the issue of 46",ventana,47,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
625,Use a Patient Management Recommendation: Clinical Practice Guidelines and Decision Analyses) and provides guidance on the issue of 46,ventana,47,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
626,"applying the results to your patient. In our discussions of systematic reviews and guidelines, we introduce the GRADE (Grading of Recommendations Assessment, Development and Evaluation) approach to summarizing evidence and developing recommendations, an approach that we believe represents a major advance in EBM (see Chapter 23, Understanding and Applying the Results of a Systematic Review and Meta-analysis, and Chapter 28.1, Assessing the Strength of Recommendations: The GRADE Approach). The final step in using the evidence is action (Figure 1-1). Often, this will involve shared decision making with your patients (see Chapter 27, Decision Making and the Patient), a key part",ventana,48,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
627,"this will involve shared decision making with your patients (see Chapter 27, Decision Making and the Patient), a key part of the EBM process. We have kept the initial chapters of each part of this book simple and succinct. From an instructor’s point of view, these core chapters constitute a curriculum for a short course in using the literature for medical students, resident physicians, or students of other health professions. They also are appropriate for a continuing education program for practicing physicians and other clinicians. ADVANCED TOPICS Moving beyond the foundations, the advanced topics in this book will interest clinicians",ventana,48,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
628,"practicing physicians and other clinicians. ADVANCED TOPICS Moving beyond the foundations, the advanced topics in this book will interest clinicians who want to practice EBM at a more sophisticated level. They are organized according to the core issues addressed in the sections on Therapy, Harm, Diagnosis, and Prognosis. If you would like to gain a deeper understanding of a topic raised in a core chapter, an alert will often direct you to another relevant chapter. For instance, a comment regarding surrogate outcomes in the Therapy section, spectrum bias in the Diagnosis chapter, or fixed-effects and random-effects models in the second",ventana,48,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
629,"surrogate outcomes in the Therapy section, spectrum bias in the Diagnosis chapter, or fixed-effects and random-effects models in the second of the systematic review chapters may lead you to read the relevant advanced topic chapter (Chapter 13.4, Surrogate Outcomes; Chapter 19.1, Spectrum Bias; and Chapter 25.1, Fixed-Effects and Random-Effects Models, respectively). The presentations of advanced topics will deepen your understanding of study methods, statistical issues, and use of the numbers that emerge from medical research. We wrote the advanced chapters mindful of an additional audience: those who teach evidence-based practice. Many advanced entries read like guidelines for an interactive discussion",ventana,48,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
630,"mindful of an additional audience: those who teach evidence-based practice. Many advanced entries read like guidelines for an interactive discussion with a group of learners in a tutorial or on the ward. That is natural enough because the material was generated in such small-group settings. Indeed, the Evidence-Based Medicine Working Group has 47",ventana,48,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
631,"produced materials that specifically discuss the challenges that arise when these concepts are presented in small-group settings, including a series of 5 articles 1 published in the Canadian Medical Association Journal and another 5 articles 2 in the Journal of General Internal Medicine. Experience on the wards and in outpatient clinics, and with the first 2 editions of the Users’ Guides to the Medical Literature, has taught us that this approach is well suited to the needs of any clinician who is eager to achieve an evidence- based practice. References 1. Wyer PC, Keitz S, Hatala R, et al. Tips",ventana,49,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
632,"who is eager to achieve an evidence- based practice. References 1. Wyer PC, Keitz S, Hatala R, et al. Tips for learning and teaching evidence- based medicine: introduction to the series. CMAJ. 2004;171(4):347-348. 2. Kennedy CC, Jaeschke R, Keitz S, et al. Evidence-Based Medicine Teaching Tips Working Group. Tips for teachers of evidence-based medicine: adjusting for prognostic imbalances (confounding variables) in studies on therapy or harm. J Gen Intern Med. 2008;23(3):337-343. a The italicization, here and in every other chapter, represents the first occurrence in the chapter of a word defined in the glossary. 48",ventana,49,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
633,represents the first occurrence in the chapter of a word defined in the glossary. 48,ventana,49,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
634,"What Is Evidence-Based Medicine? Gordon Guyatt, Roman Jaeschke, Mark C. Wilson, Victor M. Montori, and W. Scott Richardson IN THIS CHAPTER Three Fundamental Principles of EBM Best Evidence Summaries Guides to Confidence in Estimates Evidence Is Never Enough to Drive Clinical Decision Making Clinical Skills, Humanism, and EBM Additional Challenges for EBM vidence-based medicine (EBM) involves conscientiously working with Epatients to help them resolve (sometimes) or cope with (often) problems related to their physical, mental, and social health. The EBM approach necessitates awareness and understanding of clinical research evidence. For those involved in making health care decisions, EBM encompasses creating",ventana,50,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
635,"approach necessitates awareness and understanding of clinical research evidence. For those involved in making health care decisions, EBM encompasses creating implementation strategies to ensure practice evidence that is well grounded in best evidence research summaries. At the core of EBM is a care and respect for patients who will suffer if clinicians fall prey to muddled clinical reasoning and to neglect or misunderstanding of research findings. Practitioners of EBM strive for a clear and comprehensive understanding of the evidence underlying their clinical care and work with each patient to ensure that chosen courses of action are in that patient’s best",ventana,50,Users Guides to the medical literature_A Manual for Evidence Based cience.pdf,"Guyatt G et al. Users' Guides to the Medical Literature, 2015"
